post_id,status,title,date,author,content_chars,link
32238,publish,Segundo módulo - Construcción y gestión de proyectos,2020-08-11 22:05:16,masteruni,5883,https://www.uniremington.edu.co/evento/segundo-modulo-construccion-y-gestion-de-proyectos/
31297,publish,Seguridad en la información en tiempos de pandemia,2020-07-03 15:13:51,masteruni,3222,https://www.uniremington.edu.co/evento/seguridad-en-la-informacion-en-tiempos-de-pandemia/
49053,publish,Seguridad y salud en el trabajo: ponencias temáticas,2023-03-29 13:35:47,masteruni,9794,https://www.uniremington.edu.co/evento/seguridad-y-salud-en-el-trabajo-ponencias-tematicas/
56224,draft,Semana de bienestar,2024-05-14 13:29:03,webcreativa,297,https://www.uniremington.edu.co/?post_type=tribe_events&p=56224
56231,draft,Semana de bienestar,2024-05-14 14:25:14,webcreativa,0,https://www.uniremington.edu.co/?post_type=tribe_events&p=56231
56232,publish,Semana de bienestar,2024-05-14 14:42:25,webcreativa,3280,https://www.uniremington.edu.co/evento/semana-de-bienestar/
34163,publish,Semana de emprendimiento e intraemprendimiento,2020-10-20 14:32:19,masteruni,6112,https://www.uniremington.edu.co/evento/semana-de-emprendimiento-e-intraemprendimiento/
23757,publish,Semana de la Investigación 2019,2019-10-01 19:57:02,webcreativa,1579,https://www.uniremington.edu.co/evento/semana-de-la-investigacion-2019/
32411,publish,Semana de la investigación 2020,2020-08-19 22:41:58,masteruni,5793,https://www.uniremington.edu.co/evento/semana-de-la-investigacion-2020/
58614,publish,Semana de la Investigación 2024,2024-09-20 15:57:01,webcreativa,18635,https://www.uniremington.edu.co/evento/semana-de-la-investigacion-2024-2/
65894,publish,Semana de la Investigación Uniremington - 2025,2025-10-16 16:46:09,acontreras,20861,https://www.uniremington.edu.co/evento/semana-de-la-investigacion-uniremington/
40755,publish,Semana de la Investigación Uniremington 2021,2021-08-31 19:44:13,masteruni,7068,https://www.uniremington.edu.co/evento/semana-de-la-investigacion-uniremington-2021/
58610,publish,Semana de la salud,2024-09-20 15:30:04,webcreativa,5594,https://www.uniremington.edu.co/evento/semana-de-la-salud-2/
51793,publish,Semana de la Salud en Uniremington Medellín,2023-09-15 19:18:08,masteruni,4364,https://www.uniremington.edu.co/evento/semana-de-la-salud-en-uniremington-medellin/
64458,publish,Semana de la Salud Uniremington 2025,2025-08-29 12:59:44,acontreras,26523,https://www.uniremington.edu.co/evento/semana-de-la-salud-uniremington-2025/
69295,publish,Semana de la Salud Uniremington 2026,2026-04-07 13:14:28,acontreras,16381,https://www.uniremington.edu.co/evento/semana-de-la-salud-uniremington-2026/
37003,publish,Semana del Contador Público - 2021,2021-02-10 20:17:47,masteruni,5354,https://www.uniremington.edu.co/evento/semana-del-contador-publico-2021/
26861,publish,Semana del contador Público 2020,2020-02-27 14:40:48,webcreativa,2146,https://www.uniremington.edu.co/evento/semana-del-contador-publico-2020/
48631,publish,Semana del Contador Público Uniremington - 2023,2023-02-21 15:07:38,masteruni,3135,https://www.uniremington.edu.co/evento/semana-del-contador-publico-uniremington-2023/
32657,publish,Semana del emprendimiento y concurso,2020-08-27 20:42:55,webcreativa,3417,https://www.uniremington.edu.co/evento/semana-del-emprendimiento-y-concurso/
66047,publish,Semana Internacional Uniremington 2025,2025-10-17 15:26:32,acontreras,211790,https://www.uniremington.edu.co/evento/semana-internacional-uniremington-2025/
